query_group,search_term,title,description,subject,dataProvider,type,country
geographic,India,India,"Barev. 60 x 49 cm na listu 72 x 56 cm Měřítko [ca 1:6 100 000]. 7,8 cm = 300 english miles. 8,2 cm = 500 kilometres. 9,1 cm = 300 geographical miles (065°55´04&quot; v.d.--093°30´56&quot; v.d./033°39´04&quot; s.š.--002°51´47&quot; s.š.)",,Map Collection UK,IMAGE,['Czech Republic']
geographic,India,India,"Kolor.
25,5 x 35,5 cm nebo menší, sestavená 149 x 120 cm, na listech 38 x 28,5 cm nebo menších +
Měřítko [ca 1:2 600 000]. 8 cm = 110 english miles 68,8 = 1 degree. 7,6 cm = 60 cosses 40 = 1 degree
(065°33´59&quot; v.d.--091°19´06&quot; v.d./037°30´35&quot; s.š.--005°05´27&quot; s.š.)",,Map Collection UK,IMAGE,['Czech Republic']
geographic,India,India.,"125 - riders with barded horses and escorts of the pageant, someone brings the big fans to make wind.",,Cinecittà - Luce,VIDEO,['Italy']
geographic,India,India,,,Cineteca di Bologna,TEXT,['Italy']
geographic,India,India,"Barev.
28 x 36 cm, na listu 38 x 43 cm
Měřítko 1:12 165 120
(064°30´33&quot; v.d.--096°48´01&quot; v.d./034°17´53&quot; s.š.--005°08´11&quot; s.š.)",,Map Collection UK,TEXT,['Czech Republic']
geographic,India,%india%,,,Royal Museums Greenwich,IMAGE,['United Kingdom']
geographic,India,India,"Barev., podlepena plátnem
164 x 172 cm na listu 175 x 183 cm
Měřítko 1:2 027 520
(061°05´02&quot; v.d.--096°56´36&quot; v.d./033°30´17&quot; s.š.--003°15´29&quot; s.š.)",,Map Collection UK,TEXT,['Czech Republic']
geographic,India,India.,"Litografie, kolor.
28,5 x 37 cm na listu 31 x 38,5 cm
Měřítko [ca 1:19 000 000]. 5,9 cm = 150 milliaria germania = 6 000 stadia
(066°05´37&quot; v.d.--136°19´06&quot; v.d./033°17´04&quot; s.š.--014°10´45&quot; j.š.)",,Map Collection UK,TEXT,['Czech Republic']
geographic,India,India,"Barev. 60 x 49 cm na listu 72 x 56 cm Měřítko [ca 1:6 100 000]. 7,8 cm = 300 english miles. 8,2 cm = 500 kilometres. 9,1 cm = 300 geographical miles (065°55´04&quot; v.d.--093°30´56&quot; v.d./033°39´04&quot; s.š.--002°51´47&quot; s.š.)",,Map Collection UK,TEXT,['Czech Republic']
geographic,India,India,"Kolor.
25,5 x 35,5 cm nebo menší, sestavená 149 x 120 cm, na listech 38 x 28,5 cm nebo menších +
Měřítko [ca 1:2 600 000]. 8 cm = 110 english miles 68,8 = 1 degree. 7,6 cm = 60 cosses 40 = 1 degree
(065°33´59&quot; v.d.--091°19´06&quot; v.d./037°30´35&quot; s.š.--005°05´27&quot; s.š.)",,Map Collection UK,TEXT,['Czech Republic']
geographic,India,India,"Barev. 49 x 56 cm na listu 57 x 62 cm, vlepeno v deskách 25 x 17 cm Měřítko [ca 1:8 000 000]. 6,4 cm = 320 miles (061°31´24&quot; v.d.--104°59´07&quot; v.d./037°38´56&quot; s.š.--000°23´43&quot; s.š.)",,Map Collection UK,IMAGE,['Czech Republic']
geographic,India,India & Nepál,"Tartalom ◊ I. ◊ Az első randevú: Delhi, 1972 ◊ II. ◊ Szerelem: Bombay, 1974-1978 ◊ III. ◊ Kiábrándulás: Kalkutta, 1982-1985 ◊ IV. ◊ Tíz év múltán: Amrita a szülőföldjén, 1996 ◊ V. ◊ És: Nepál, 1982 és 1996 ◊ Link-jegyzékek ◊ India ◊ Bombay ◊ Kalkutta ◊ Nepál ◊ Kiran Parmar ajánlatai",,National Széchényi Library of Hungary,TEXT,['Hungary']
